order_book_id,date,volume,prev_close,close,open,low,high,total_turnover
000002.XSHG,2008-01-02,7597409700.0,5521.4902,5533.2578,5525.1519,5458.688,5556.6479,132436772557.0
000002.XSHG,2008-01-03,9769468800.0,5533.2578,5582.54,5530.0801,5468.1631,5584.2241,169649914855.0
000002.XSHG,2008-01-04,7997568800.0,5582.54,5626.4209,5591.6001,5580.9741,5637.9521,144691940133.0
000002.XSHG,2008-01-07,9104611500.0,5626.4209,5660.043000000002,5622.1299,5596.0029,5670.5811,161395421064.0
000002.XSHG,2008-01-08,10151062600.0,5660.043000000002,5653.2632,5682.458000000001,5609.3848,5751.73,183688092157.0
000002.XSHG,2008-01-09,7608386200.0,5653.2632,5704.9229,5631.0298,5611.5679,5706.9482,138777827992.0
000002.XSHG,2008-01-10,9591753000.0,5704.9229,5726.8999,5718.9429,5674.8569,5755.5391,173541100120.0
000002.XSHG,2008-01-11,8723684000.0,5726.8999,5756.6411,5742.5669,5692.5942,5772.75,155394851365.0
000002.XSHG,2008-01-14,7819056300.0,5756.6411,5770.5288,5780.792,5727.2651,5796.7241,141634710958.0
000002.XSHG,2008-01-15,8021218900.0,5770.5288,5713.5239,5776.877,5673.3452,5778.0381,150954929406.0
000002.XSHG,2008-01-16,8870446400.0,5713.5239,5552.46,5662.5942,5550.521,5663.3809,161378758761.0
000002.XSHG,2008-01-17,9824877100.0,5552.46,5406.2432,5494.9668,5288.5898,5575.1001,174000918792.0
000002.XSHG,2008-01-18,6818682800.0,5406.2432,5436.876,5395.5859,5344.6792,5444.2051,117830313764.0
000002.XSHG,2008-01-21,7512115400.0,5436.876,5157.4448,5445.6631,5133.1089,5458.375,129769623648.0
000002.XSHG,2008-01-22,9142800900.0,5157.4448,4785.7378,5056.6982,4735.3511,5056.6982,153756436751.0
000002.XSHG,2008-01-23,8712297900.0,4785.7378,4936.0,4799.8379,4733.853,4938.1318,139516008414.0
000002.XSHG,2008-01-24,8954446000.0,4936.0,4951.353,4988.9619,4854.4038,5004.0698,148668919491.0
000002.XSHG,2008-01-25,7753592700.0,4951.353,4997.6738,4950.4731,4888.0762,5045.2729,128982171582.0
000002.XSHG,2008-01-28,6888930700.0,4997.6738,4637.8071,4954.4111,4627.1948,4954.4111,108358778910.0
000002.XSHG,2008-01-29,5001709500.0,4637.8071,4678.1548,4645.002,4606.3569,4740.9009,79211652993.0
000002.XSHG,2008-01-30,5477128500.0,4678.1548,4636.0278,4728.416,4544.4619,4779.54,92237252407.0
000002.XSHG,2008-01-31,4489971100.0,4636.0278,4600.1211,4625.7881,4583.8979,4709.2979,75914268428.0
000002.XSHG,2008-02-01,5883220600.0,4600.1211,4534.5742,4605.3188,4403.3481,4629.8159,95972798409.0
000002.XSHG,2008-02-04,6273285200.0,4534.5742,4903.4082,4633.6768,4633.6768,4903.4448,108555684462.0
000002.XSHG,2008-02-05,5224401600.0,4903.4082,4827.1001,4850.9121,4775.1948,4893.6328,93013899781.0
000002.XSHG,2008-02-13,3670055300.0,4827.1001,4712.7222,4748.6309,4674.6572,4772.3911,61321598743.0
000002.XSHG,2008-02-14,3471121300.0,4712.7222,4777.313,4751.002,4730.7002,4803.271,57324944232.0
000002.XSHG,2008-02-15,4119084300.0,4777.313,4719.3921,4747.313,4650.4248,4747.313,66793877380.0
000002.XSHG,2008-02-18,5552858400.0,4719.3921,4793.9888,4771.6138,4740.7729,4828.793,92268373246.0
000002.XSHG,2008-02-19,6035088300.0,4793.9888,4895.041,4808.9092,4769.5278,4896.3618,103060616617.0
000002.XSHG,2008-02-20,6614141700.0,4895.041,4792.376,4914.3652,4781.8218,4928.0308,114442118418.0
000002.XSHG,2008-02-21,6105518800.0,4792.376,4750.5371,4757.9321,4672.1338,4793.6548,100039246252.0
000002.XSHG,2008-02-22,6723256100.0,4750.5371,4585.4888,4722.3242,4546.4619,4722.3242,109457682075.0
000002.XSHG,2008-02-25,5836250600.0,4585.4888,4398.8091,4585.4512,4388.5562,4607.5571,92620110889.0
000002.XSHG,2008-02-26,5530542900.0,4398.8091,4446.8198,4514.7441,4326.0142,4544.8682,89537809329.0
000002.XSHG,2008-02-27,5023784800.0,4446.8198,4547.5352,4466.166,4430.2158,4575.5361,82707940825.0
000002.XSHG,2008-02-28,4763112100.0,4547.5352,4511.105,4557.2241,4475.3979,4558.96,75239661619.0
000002.XSHG,2008-02-29,4752556900.0,4511.105,4562.7822,4504.8618,4486.3169,4579.8721,75194327364.0
000002.XSHG,2008-03-03,7815141800.0,4562.7822,4657.1089,4536.7471,4490.0239,4676.7612,124990894014.0
000002.XSHG,2008-03-04,8642004800.0,4657.1089,4548.7002,4673.8379,4533.7798,4692.4082,135459861767.0
000002.XSHG,2008-03-05,7379661400.0,4548.7002,4503.6162,4528.4888,4417.7612,4566.8262,113259303374.0
000002.XSHG,2008-03-06,8455548900.0,4503.6162,4575.6348,4522.3081,4470.0781,4645.6279,132829586490.0
000002.XSHG,2008-03-07,5643929800.0,4575.6348,4512.2222,4528.062,4475.7358,4555.0889,91898271046.0
000002.XSHG,2008-03-10,6531448100.0,4512.2222,4350.3511,4475.582,4323.3101,4475.582,96966967848.0
000002.XSHG,2008-03-11,5092122700.0,4350.3511,4370.8911,4324.5029,4263.5181,4370.937,79165419725.0
000002.XSHG,2008-03-12,5689909100.0,4370.8911,4270.1909,4464.269,4268.771,4483.376,88331989949.0
000002.XSHG,2008-03-13,6323270600.0,4270.1909,4166.4321,4231.75,4093.97,4254.748,95953414077.0
000002.XSHG,2008-03-14,4114432100.0,4166.4321,4157.5229,4151.252,4082.895,4197.6919,64047694790.0
000002.XSHG,2008-03-17,4869506000.0,4157.5229,4008.3931,4135.354,4000.9341,4135.354,73256602739.0
000002.XSHG,2008-03-18,5731285600.0,4008.3931,3850.7771,3976.4819,3785.824,4053.333,79061345995.0
000002.XSHG,2008-03-19,6103441600.0,3850.7771,3947.929,3931.821,3860.1699,4002.6121,87797817891.0
000002.XSHG,2008-03-20,7272094500.0,3947.929,3992.406,3905.8369,3690.4771,4048.6831,105773753817.0
000002.XSHG,2008-03-21,6477914500.0,3992.406,3984.321,3977.6909,3931.604,4027.9331,96180145580.0
000002.XSHG,2008-03-24,5864215700.0,3984.321,3804.825,4019.8081,3803.5,4030.2839,88265143715.0
000002.XSHG,2008-03-25,5251311100.0,3804.825,3808.2361,3735.1609,3694.6589,3839.373,77602980123.0
000002.XSHG,2008-03-26,4600807300.0,3808.2361,3784.293,3823.5349,3767.8059,3880.4109,70324539859.0
000002.XSHG,2008-03-27,5480459300.0,3784.293,3578.917,3715.1841,3575.2019,3715.1841,76736000834.0
000002.XSHG,2008-03-28,6298444400.0,3578.917,3756.124,3544.364,3522.0559,3767.342,90037661696.0
000002.XSHG,2008-03-31,4692024200.0,3756.124,3643.2439,3636.031,3614.6521,3730.614,66676393683.0
000002.XSHG,2008-04-01,5446547100.0,3643.2439,3492.78,3631.033,3471.416,3664.7471,72820788408.0
000002.XSHG,2008-04-02,6514075700.0,3492.78,3512.9719,3536.365,3445.2529,3635.228,86171310260.0
000002.XSHG,2008-04-03,5059193500.0,3512.9719,3616.3779,3487.189000000001,3432.519,3627.6279,66211299928.0
000002.XSHG,2008-04-07,6063903000.0,3616.3779,3777.2471,3587.21,3553.6179,3791.866,84283475730.0
000002.XSHG,2008-04-08,6514398800.0,3777.2471,3790.6909,3782.1001,3739.5171,3837.373,92421266769.0
000002.XSHG,2008-04-09,5944996200.0,3790.6909,3581.8149,3762.5779,3580.918,3784.575,80854522111.0
000002.XSHG,2008-04-10,4515841500.0,3581.8149,3642.6479,3544.219,3509.365,3645.3379,59436441786.0
000002.XSHG,2008-04-11,4298696800.0,3642.6479,3664.8369,3670.865,3632.4231,3690.989,58698291297.0
000002.XSHG,2008-04-14,4994255900.0,3664.8369,3459.0,3587.1421,3447.0229,3596.6909,66639752736.0
000002.XSHG,2008-04-15,4431762000.0,3459.0,3513.24,3444.189000000001,3370.3689,3514.73,58755370653.0
000002.XSHG,2008-04-16,3985841400.0,3513.24,3453.8601,3514.949,3444.8191,3529.1411,52999831902.0
000002.XSHG,2008-04-17,4555117600.0,3453.8601,3381.675,3448.3799,3336.979000000001,3518.259,62302266163.0
000002.XSHG,2008-04-18,4326877200.0,3381.675,3247.439000000001,3358.396,3230.2739,3361.95,54307597732.0
000002.XSHG,2008-04-21,5941949900.0,3247.439000000001,3270.77,3468.259,3225.2129,3468.259,79196953473.0
000002.XSHG,2008-04-22,4845423100.0,3270.77,3303.094,3228.4141,3138.1509,3304.084000000001,58573365032.0
000002.XSHG,2008-04-23,6565893000.0,3303.094,3439.845,3270.1279,3242.219,3459.1799,85715900437.0
000002.XSHG,2008-04-24,14086806000.0,3439.845,3759.606,3714.063,3631.9651,3770.2529,188521651096.0
000002.XSHG,2008-04-25,12851981800.0,3759.606,3732.8521,3748.3811,3701.563,3838.6189,183913484342.0
000002.XSHG,2008-04-28,7520499900.0,3732.8521,3645.5769,3669.3931,3630.418,3704.623,108766928635.0
000002.XSHG,2008-04-29,6666365800.0,3645.5769,3696.74,3627.282,3622.9951,3718.6321,99223828041.0
000002.XSHG,2008-04-30,10706639600.0,3696.74,3875.219,3720.125,3717.3191,3887.801,155878700013.0
000002.XSHG,2008-05-05,9912625300.0,3875.219,3946.45,3924.355,3878.865,3954.0459,147088753091.0
000002.XSHG,2008-05-06,9842198500.0,3946.45,3917.698,3919.99,3862.3291,3972.948,147906219964.0
000002.XSHG,2008-05-07,8985478000.0,3917.698,3755.6499,3899.77,3754.4231,3960.3931,133024989872.0
000002.XSHG,2008-05-08,7466424800.0,3755.6499,3837.0759,3713.2871,3696.5061,3838.3491,108422402924.0
000002.XSHG,2008-05-09,8740607600.0,3837.0759,3791.5149,3864.5569,3727.4529,3875.251,128535039650.0
000002.XSHG,2008-05-12,7947989300.0,3791.5149,3805.748,3723.187,3695.344,3849.74,116392362894.0
000002.XSHG,2008-05-13,9026186700.0,3805.748,3735.7009,3688.9189,3681.1819,3793.2661,122262236452.0
000002.XSHG,2008-05-14,8809309200.0,3735.7009,3837.741,3724.595,3724.595,3842.543,121939032777.0
000002.XSHG,2008-05-15,8352406300.0,3837.741,3816.501,3858.1731,3815.3811,3889.501,112243474007.0
000002.XSHG,2008-05-16,6449206800.0,3816.501,3802.8511,3816.8279,3759.0171,3841.4519,89298972863.0
000002.XSHG,2008-05-19,4820326900.0,3802.8511,3782.3711,3793.7839,3739.074,3803.5049,67380186450.0
000002.XSHG,2008-05-20,6602924800.0,3782.3711,3612.6389,3779.001,3601.2991,3811.0291,88612381608.0
000002.XSHG,2008-05-21,7319154600.0,3612.6389,3718.9761,3582.5149,3520.2881,3736.2451,96178707231.0
000002.XSHG,2008-05-22,6815481500.0,3718.9761,3657.4939,3665.179,3640.792,3733.634,93615402975.0
000002.XSHG,2008-05-23,5959834700.0,3657.4939,3644.3899,3645.0481,3605.2129,3695.2,75967698438.0
000002.XSHG,2008-05-26,5234691500.0,3644.3899,3530.5820000000012,3611.9121,3527.8411,3613.854,66908320511.0
000002.XSHG,2008-05-27,4219847700.0,3530.5820000000012,3541.75,3520.675,3498.249000000001,3550.531,54996094331.0
000002.XSHG,2008-05-28,5205338600.0,3541.75,3629.332,3549.5471,3519.3379,3658.0691,68408509465.0
000002.XSHG,2008-05-29,5119753600.0,3629.332,3568.884,3617.415,3568.1941,3653.25,67137815542.0
000002.XSHG,2008-05-30,4816810900.0,3568.884,3602.6599,3582.3989,3557.7991,3620.3811,64653362574.0
000002.XSHG,2008-06-02,4893065500.0,3602.6599,3629.606,3595.0820000000012,3568.231,3655.448,61776735428.0
000002.XSHG,2008-06-03,5635965300.0,3629.606,3605.856,3627.0061,3577.198,3640.127,69201612627.0
000002.XSHG,2008-06-04,4775072900.0,3605.856,3535.8059,3592.7859,3506.2129,3597.425,59004297951.0
000002.XSHG,2008-06-05,4107901900.0,3535.8059,3516.2229,3520.835,3489.8159,3542.1631,52788452307.0
000002.XSHG,2008-06-06,3434271000.0,3516.2229,3493.188,3527.1841,3475.354000000001,3536.9109,42442311095.0
000002.XSHG,2008-06-10,5026665200.0,3493.188,3223.167,3359.1709,3194.6089,3373.354000000001,60250483322.0
000002.XSHG,2008-06-11,4653593600.0,3223.167,3172.4189,3191.4021,3139.011,3214.5439,53905783329.0
000002.XSHG,2008-06-12,4923012600.0,3172.4189,3102.1321,3159.103,3041.7759,3179.551,56610963594.0
000002.XSHG,2008-06-13,4080001100.0,3102.1321,3008.9141,3105.699,3005.4570000000012,3121.918,44993616171.0
000002.XSHG,2008-06-16,4007724400.0,3008.9141,3014.74,3016.8149,2949.144,3060.5911,43010354546.0
000002.XSHG,2008-06-17,4296936500.0,3014.74,2931.833,3013.7271,2904.8201,3035.0239,43600517756.0
000002.XSHG,2008-06-18,6585268700.0,2931.833,3085.437,2908.2859,2863.675,3089.853,68694846683.0
000002.XSHG,2008-06-19,5643528800.0,3085.437,2883.8879,3065.0229,2876.7649,3065.0229,59394087770.0
000002.XSHG,2008-06-20,7357399300.0,2883.8879,2970.9309,2949.397,2828.134,3060.6431,78844776833.0
000002.XSHG,2008-06-23,4041567700.0,2970.9309,2895.9839,2916.717,2875.7649,2951.4041,41750525533.0
000002.XSHG,2008-06-24,4801069600.0,2895.9839,2940.592,2882.2271,2862.6609,2955.458,49747184115.0
000002.XSHG,2008-06-25,6428872300.0,2940.592,3047.532,2931.137,2920.998,3053.2891,67199774852.0
000002.XSHG,2008-06-26,6509378900.0,3047.532,3044.071,3046.5969,2990.7581,3075.0039,68949538805.0
000002.XSHG,2008-06-27,6000209700.0,3044.071,2882.95,2946.801,2856.4819,2960.522,61398084279.0
000002.XSHG,2008-06-30,3822519000.0,2882.95,2869.937,2857.623,2825.155,2902.1941,40385646552.0
000002.XSHG,2008-07-01,4045438100.0,2869.937,2781.0859,2877.376,2773.908,2888.0569,42868820685.0
